,DateTime,Timestamp,Watt,Date
111,13:51:34,1514292694,1874.760986,26.12.17
112,13:51:39,1514292699,1869.399414,26.12.17
113,13:51:44,1514292704,1918.786743,26.12.17
114,13:51:49,1514292709,1880.153442,26.12.17
115,13:51:54,1514292714,1874.760986,26.12.17
116,13:51:59,1514292719,1913.170776,26.12.17
117,13:52:05,1514292725,1876.555054,26.12.17
118,13:52:10,1514292730,1876.555054,26.12.17
119,13:52:15,1514292735,1943.508423,26.12.17
120,13:52:20,1514292740,1922.549072,26.12.17
121,13:52:25,1514292745,1880.153442,26.12.17
122,13:52:30,1514292750,1926.326172,26.12.17
123,13:52:35,1514292755,1913.170776,26.12.17
124,13:52:40,1514292760,1876.555054,26.12.17
125,13:52:46,1514292766,1867.619019,26.12.17
126,13:52:51,1514292771,1911.30603,26.12.17
127,13:52:56,1514292776,1880.153442,26.12.17
128,13:53:01,1514292781,1872.970337,26.12.17
129,13:53:06,1514292786,1911.30603,26.12.17
130,13:53:11,1514292791,1874.760986,26.12.17
131,13:53:16,1514292796,1869.399414,26.12.17
132,13:53:21,1514292801,1915.039062,26.12.17
133,13:53:26,1514292806,1902.036865,26.12.17
134,13:53:31,1514292811,1874.760986,26.12.17
135,13:53:37,1514292817,1867.619019,26.12.17
136,13:53:42,1514292822,1911.30603,26.12.17
137,13:53:47,1514292827,1872.970337,26.12.17
138,13:53:52,1514292832,1865.842041,26.12.17
139,13:53:57,1514292837,1909.444946,26.12.17
140,13:54:02,1514292842,1872.970337,26.12.17
141,13:54:07,1514292847,8.577439,26.12.17
142,13:54:12,1514292852,46.088039,26.12.17
143,13:54:17,1514292857,6.61798,26.12.17
144,13:54:23,1514292863,6.551889,26.12.17
145,13:54:28,1514292868,61.216209,26.12.17
146,13:54:33,1514292873,11.06528,26.12.17
147,13:54:38,1514292878,6.675927,26.12.17
148,13:54:43,1514292883,73.566925,26.12.17
149,13:54:48,1514292888,53.375069,26.12.17
150,13:54:53,1514292893,6.680907,26.12.17
151,13:54:58,1514292898,6.672133,26.12.17
152,13:55:03,1514292903,48.90884,26.12.17
153,13:55:09,1514292909,6.705603,26.12.17
154,13:55:14,1514292914,6.71288,26.12.17
155,13:55:19,1514292919,50.23568,26.12.17
156,13:55:24,1514292924,6.726119,26.12.17
157,13:55:29,1514292929,6.659151,26.12.17
158,13:55:34,1514292934,49.471481,26.12.17
159,13:55:39,1514292939,6.752313,26.12.17
160,13:55:44,1514292944,6.661594,26.12.17
161,13:55:49,1514292949,38.543182,26.12.17
162,13:55:55,1514292955,39.080093,26.12.17
163,13:56:00,1514292960,6.639086,26.12.17
164,13:56:05,1514292965,6.62762,26.12.17
165,13:56:10,1514292970,52.611809,26.12.17
166,13:56:15,1514292975,6.685987,26.12.17
167,13:56:20,1514292980,6.697244,26.12.17
168,13:56:25,1514292985,51.578117,26.12.17
169,13:56:30,1514292990,6.695781,26.12.17
170,13:56:35,1514292995,6.55877,26.12.17
171,13:56:41,1514293001,49.68708,26.12.17
172,13:56:46,1514293006,9.221335,26.12.17
173,13:56:51,1514293011,6.57972,26.12.17
174,13:56:56,1514293016,36.926842,26.12.17
175,13:57:01,1514293021,8.476591,26.12.17
176,13:57:06,1514293026,6.560679,26.12.17
177,13:57:11,1514293031,36.930321,26.12.17
178,13:57:16,1514293036,52.141773,26.12.17
179,13:57:21,1514293041,6.592128,26.12.17
180,13:57:26,1514293046,6.5904,26.12.17
181,13:57:32,1514293052,47.631771,26.12.17
182,13:57:37,1514293057,6.674563,26.12.17
183,13:57:42,1514293062,6.694569,26.12.17
184,13:57:47,1514293067,47.009468,26.12.17
185,13:57:52,1514293072,12.557794,26.12.17
186,13:57:57,1514293077,6.681317,26.12.17
187,13:58:02,1514293082,40.611343,26.12.17
188,13:58:07,1514293087,11.056733,26.12.17
189,13:58:12,1514293092,6.630421,26.12.17
190,13:58:17,1514293097,11.473271,26.12.17
191,13:58:23,1514293103,54.694038,26.12.17
192,13:58:28,1514293108,6.681408,26.12.17
193,13:58:33,1514293113,6.629636,26.12.17
194,13:58:38,1514293118,52.325428,26.12.17
195,13:58:43,1514293123,6.646646,26.12.17
196,13:58:48,1514293128,6.608634,26.12.17
197,13:58:53,1514293133,50.474892,26.12.17
198,13:58:58,1514293138,10.817878,26.12.17
199,13:59:03,1514293143,6.584227,26.12.17
200,13:59:08,1514293148,39.398079,26.12.17
201,13:59:14,1514293154,11.614408,26.12.17
202,13:59:19,1514293159,6.641154,26.12.17
203,13:59:24,1514293164,6.737743,26.12.17
204,13:59:29,1514293169,47.15189,26.12.17
205,13:59:34,1514293174,6.581774,26.12.17
206,13:59:39,1514293179,6.591929,26.12.17
207,13:59:44,1514293184,48.394661,26.12.17
208,13:59:50,1514293190,6.604095,26.12.17
209,13:59:55,1514293195,6.599094,26.12.17
210,14:00:00,1514293200,48.24939,26.12.17
211,14:00:05,1514293205,6.622897,26.12.17
212,14:00:10,1514293210,6.572773,26.12.17
213,14:00:15,1514293215,43.095112,26.12.17
214,14:00:20,1514293220,6.61385,26.12.17
215,14:00:25,1514293225,6.618896,26.12.17
216,14:00:30,1514293230,33.150761,26.12.17
217,14:00:35,1514293235,24.772612,26.12.17
218,14:00:40,1514293240,6.636165,26.12.17
219,14:00:46,1514293246,6.65741,26.12.17
220,14:00:51,1514293251,48.593731,26.12.17
221,14:00:56,1514293256,6.617354,26.12.17
222,14:01:01,1514293261,6.650952,26.12.17
223,14:01:06,1514293266,47.922775,26.12.17
224,14:01:11,1514293271,6.610528,26.12.17
225,14:01:16,1514293276,6.609392,26.12.17
226,14:01:21,1514293281,48.834545,26.12.17
227,14:01:26,1514293286,8.888063,26.12.17
228,14:01:31,1514293291,6.640345,26.12.17
229,14:01:37,1514293297,46.569618,26.12.17
230,14:01:43,1514293303,10.942042,26.12.17
231,14:01:48,1514293308,6.635132,26.12.17
232,14:01:53,1514293313,80.240601,26.12.17
233,14:01:58,1514293318,19.122753,26.12.17
234,14:02:03,1514293323,6.61278,26.12.17
235,14:02:08,1514293328,6.610439,26.12.17
236,14:02:13,1514293333,50.592091,26.12.17
237,14:02:18,1514293338,6.642369,26.12.17
238,14:02:23,1514293343,6.631295,26.12.17
239,14:02:29,1514293349,45.331608,26.12.17
240,14:02:34,1514293354,6.514474,26.12.17
241,14:02:39,1514293359,6.518653,26.12.17
242,14:02:44,1514293364,24.577631,26.12.17
243,14:02:49,1514293369,6.765755,26.12.17
244,14:02:54,1514293374,6.48526,26.12.17
245,14:02:59,1514293379,39.60096,26.12.17
246,14:03:04,1514293384,10.681759,26.12.17
247,14:03:09,1514293389,6.485925,26.12.17
248,14:03:15,1514293395,7.022079,26.12.17
249,14:03:20,1514293400,50.061268,26.12.17
250,14:03:25,1514293405,6.534946,26.12.17
251,14:03:30,1514293410,6.543101,26.12.17
252,14:03:35,1514293415,50.824177,26.12.17
253,14:03:40,1514293420,6.626366,26.12.17
254,14:03:45,1514293425,6.677199,26.12.17
255,14:03:50,1514293430,48.532394,26.12.17
256,14:03:55,1514293435,12.614583,26.12.17
257,14:04:01,1514293441,6.649621,26.12.17
258,14:04:06,1514293446,65.63797,26.12.17
259,14:04:11,1514293451,11.801736,26.12.17
260,14:04:16,1514293456,6.648584,26.12.17
261,14:04:21,1514293461,11.702641,26.12.17
262,14:04:26,1514293466,52.600521,26.12.17
263,14:04:31,1514293471,6.676404,26.12.17
264,14:04:36,1514293476,6.784458,26.12.17
265,14:04:41,1514293481,49.146637,26.12.17
266,14:04:47,1514293487,6.737512,26.12.17
267,14:04:52,1514293492,6.716167,26.12.17
268,14:04:57,1514293497,45.685398,26.12.17
269,14:05:02,1514293502,6.762745,26.12.17
270,14:05:07,1514293507,6.728473,26.12.17
271,14:05:12,1514293512,34.219204,26.12.17
272,14:05:17,1514293517,7.47432,26.12.17
273,14:05:22,1514293522,6.763632,26.12.17
274,14:05:27,1514293527,27.124973,26.12.17
275,14:05:33,1514293533,47.987274,26.12.17
276,14:05:38,1514293538,6.741542,26.12.17
277,14:05:43,1514293543,6.742539,26.12.17
278,14:05:48,1514293548,44.800327,26.12.17
279,14:05:53,1514293553,6.764355,26.12.17
280,14:05:58,1514293558,6.755337,26.12.17
281,14:06:03,1514293563,50.083004,26.12.17
282,14:06:08,1514293568,6.741264,26.12.17
283,14:06:13,1514293573,6.755826,26.12.17
284,14:06:19,1514293579,43.617519,26.12.17
285,14:06:24,1514293584,10.984333,26.12.17
286,14:06:29,1514293589,6.755081,26.12.17
287,14:06:34,1514293594,33.369637,26.12.17
288,14:06:39,1514293599,12.535398,26.12.17
289,14:06:44,1514293604,6.626321,26.12.17
290,14:06:49,1514293609,7.662611,26.12.17
291,14:06:54,1514293614,49.063023,26.12.17
292,14:06:59,1514293619,6.643809,26.12.17
293,14:07:04,1514293624,6.65863,26.12.17
294,14:07:10,1514293630,53.099022,26.12.17
295,14:07:15,1514293635,6.678337,26.12.17
296,14:07:20,1514293640,6.620437,26.12.17
297,14:07:25,1514293645,52.300308,26.12.17
298,14:07:30,1514293650,6.68934,26.12.17
299,14:07:35,1514293655,6.723029,26.12.17
300,14:07:40,1514293660,40.815052,26.12.17
301,14:07:45,1514293665,8.796207,26.12.17
302,14:07:50,1514293670,6.727342,26.12.17
303,14:07:56,1514293676,25.244593,26.12.17
304,14:08:01,1514293681,52.109905,26.12.17
305,14:08:06,1514293686,6.763445,26.12.17
306,14:08:11,1514293691,6.737072,26.12.17
